fail to start,GetAdvertisingId @ line 49 is causing the app to crash.. android 4.4.4. ill re-rate if it gets fixed
fail to start,App does not work. Unable to check in to flights and shows flights as delayed when they are not.
bad performance,"I feel there's still something wrong. I'm glory V8. Opening palm gold information will clear the crash phenomenon_ Palm precious metal_ The app program data is restored to the original state. When the software can be opened normally, there is no problem. Closing the software and opening palm gold information will crash	"
vulgar content,I love this app.i found lots of sexy girls in this app
payment deception,"I didn't expect that China Unicom has so many more value-added services for no reason. It's disgusting to need software to unsubscribe. I don't know how so many high praise came from	"
illegal redirection,"I didn't expect that China Unicom has so many more value-added services for no reason. It's disgusting to need software to unsubscribe. I don't know how so many high praise came from	"
ad disruption,Ads make it impossible to use.
bad performance,Looks same as stock app and has less options.  Worst is still white-wash eye and battery killer design.
fail to start,"You can't talk, can you	"
bad performance,"Xiaomi 4 always crashes	"
virus,"Don't let the virus pollute the mobile phone. You'll regret it	"
drive-by download,I think that it is very fun but I deleted my downloaded tiktoks and I really miss them. Can u make an update where you can see all your downloaded tik toks and your old ones? I can't find my old tik toks and this would be really helpful thank you.
excessive network traffic,"Garbage deceives others to download, earn traffic, sign in and get less and less traffic. At the beginning, the traffic red envelope can be robbed more than ten times a month. Now it's five times. Grab it once next time. Garbage, go paralyzed	"
app repackaging,"Rubbish, this is the of pirated super warships!	"
fail to start,"Always a black screen, poor to the extreme	"
drive-by download,"they force you to download a new app, and call it an ""update"". and disable the use of their original app. so messed up f this"
fail to delete,"Unable to uninstall	"
fail to install,"OK I love tiktok but for some reason I updated tiktok now It doesn't let me download it it keeps saying there is a problem at first I thought it was storage so I deleted a lot of suff(apps,pictures etc)but it still says that I can't download it.?"
bad performance,"Let's get together. The mobile phone has a serious fever	"
fail to start,Stopped immediately after getting on it. Had good prices the only first four I could ever see
fail to install,"Android 7.0 does not support!	"
fail to delete,"The negative app cannot be deleted	"
fail to start,"not even works, good job microsoft"
app repackaging,"This app should be blocked,  cheaters"
fail to retrieve content,Nothing will load when searching for ringtones
bad performance,"I hate the level of shaking my mobile phone. The mobile phone shakes out the screen capture and the door doesn't open	"
bad performance,I really really love love this app tik tok and its very good and it really does MAKE MY DAY!!! But the only thing is that I have to delete it because its taking up to much space on my phone and yes I deleted all the things I could delete and every time I try to download a game or something this thing pops up saying delete the unessesary apps you dont need but mind you I litteraly have no apps on my phone downloaded it is very stressing but otherwise I really love tik tok thank you???
fail to install,"Android phones can't be installed	"
fail to login or register,"Why can't I go up and change several numbers	"
fail to install,"Why can't I install the game here? My Huawei glory 6	"
fail to install,"It looks gorgeous, but it can't be installed	"
inconsistency between functionality and description,"It's totally different from the cover	"
virus,This app sucks waste of time. Sends you to a website that sends virus to your phone. Customer service non existent. 100 thumbs down
vulgar content,Yes it might have pedophiles But its great! 10/10 100% Recommend
fail to delete,"What the hell can't be unloaded?	"
fail to start,It dont work
vulgar content,I like it but there is one thing wrong why did it say can you see the location good canbyou SAS me or something that is really creepy that is freaking me out a lot
fail to install,Android cannot install
excessive network traffic,"Traffic swindles large users and reloads every time you open the subway map	"
bad performance,"Dynamic doesn't work at all. The unlocking screen is static. I thought the card was jammed. It didn't move at all. It didn't move for a while	"
privacy or information leak,"The album is gone... I'm not used to it	"
payment deception,"Nima talks and swindles money suddenly	"
fail to start,Are crack
virus,"What do big spiders say is poisonous	"
excessive network traffic,"I9100 runs perfectly ~ ~ those who are afraid of secretly taking traffic can turn off traffic and play~~	"
fail to start,"Shit, it's too embarrassing for you to fight. Please don't go down. If you can't open it, I can't open it	"
illegal background behavior,Constant background tracking?!? No thanks!
fail to login or register,"Why can't you log in and prompt the account and password error	"
fail to start,"Millet perfect flash back	"
ad disruption,Added ads to my lock screen.  Removed immediately.  Never even used it.
fail to install,"Alas, why can't I install it	"
vulgar content,"funny sexy just a great time does what you want to see,Thanks alot for the update doesnt work anymore."
fail to start,App crashes every time I try to record. HTC One M9.
drive-by download,really bad to download the bundled software
vulgar content,Its a good app but innocent accounts are getting banned but theres accounts with nude people in and there not been banned :/
privacy or information leak,"Super hard to use! Steal personal information	"
virus,"Garbage is useless. You can't check the password, you have to press it yourself, and the WiFi password will disappear. Please don't download the mobile phone. Don't try it on. There may be a virus	"
fail to start,Not fun its not working
fail to retrieve content,App suck....all you get is error 404
fail to login or register,I CAN NOT LOG IN OR MAKE AN ACCOUNT! HELP PLEASE.
fail to install,"After the update, you can't play. The re downloaded installation package can't be refunded	"
vulgar content,Need to watch who is on the app as there are lots of creepy old men and lots of young children on the app and not much privacy
fail to install,"This software cannot be installed	"
fail to login or register,"Never change the mobile phone number. After changing the mobile phone number, the customer service can't solve this problem. The verification code for cash withdrawal and repayment is the original mobile phone number, and sometimes the verification code is required, and sometimes the verification code is not required	"
app repackaging,"Shit, don't download too tricky. Since there are only five songs you can play, you have to charge for everything else, and you also have a lot of traffic. I recommend you to download the cracked version online. As long as you send the data package to the SD card and install the cracked version of the game, you can play it. And it's great that all the songs are free and all the songs don't have to be downloaded. Make sure you don't need to unlock 456 keys when you play to the horizon What songs do you want to play to unlock this pitching game!!	"
ad disruption,Dreadfully useless and full of ads.
drive-by download,i want my drafts not to delete if i uninstall it once
app repackaging,"I told you, in fact, this software is a pirated game to imitate the sweeping zombie. You can go and see the sweeping zombie. It's much more interesting than this	"
excessive network traffic,"Mom's approval deceived me. Once the traffic goes in, you can't play anywhere on the browser. Keguabao, be careful not to download	"
fail to retrieve content,This app is no longer available
payment deception,I suggest you don't run in the paid version secretly in the future 
illegal background behavior,The software will run automatically in the background.
illegal background behavior,Why do you always run in the background secretly? 
privacy or information leak,Don't you know if I have some important information in it? 
excessive network traffic,"Why do you always run in the background secretly? Don't you know if I have some important information in it? The software will run automatically in the background. I don't know what to do. I don't know what to do. I suggest you don't run in the paid version secretly in the future	"
inconsistency between functionality and description,"The app gets five stars for having a good amount of women with quality but loses 2 stars for being inconsistent with notifications. There have been plenty of times when msgs would be sitting in my inbox unread because the notification doesn't always pop up to let me know it's there. also, I don't think all of my msgs are being received. I'd be chatting with the girl and the exchange of conversation was pretty fast but all of a sudden they would stop responding and I know it's due to the app."
fail to install,Its kinda good i love it .. Aarigato for such a app.. I cant say any furthur................but nowdays its not intalling ...it was delete from my mobile...so i tried to download it again ..but i count download..i5s saying cant download this app..??plzz repair it fast...
excessive network traffic,"It's found that this product has been stealing traffic from the background... It's useless. It will steal hundreds of M traffic a month... I don't want to give it a star	"
fail to start,Foes not work crashes wheb you try to open it
drive-by download,I love it but this int the account I have it on my tablet won't turn on make it where I can download and give his account to m it was mine.. my tiktok username is whyyoulookingatmehuh thank u?
permission abuse,"It's very useful to me. It would be better if I didn't have permission	"
privacy or information leak,"A swindler who steals personal information	"
fail to login or register,It wont let me sign into my account
fail to start,"Garbage. Most people are sad because it keeps crashing. Well dry your eyes people because it is running fine on my phone and I feel I have gained absolutely nothing from it. The brazil app was worthless too, but I was hoping for improvements. Unbelievable that they would bother to put out such a  useless app. Gotta run. I am going to post some automated virtual cheers for team USA."
fail to install,"Under the installation, I can't be angry!!!	"
app repackaging,"Aiwu has a cracked version	"
ad disruption,"Not at all accurate - unfollower list is full of people that are mutual followers. Every tap is an ad too, poor app."
permission abuse,"Garbage needs root permission. One software after another lets you garbage. Hum!!!! The risk of good temper being worn out brings back a lot	"
drive-by download,It won't let me download it but it's pretty good fun
ad disruption,Ads suck ass!!!
vulgar content,this app is mind blowing look comparison know anything it is mind blowing you can also make videos watch videos but don't apply sex videos videos on it because it is a safe app entertainment free download download rate post ok thank you and please get my order
privacy or information leak,"Bullshit, all the information is gone after the update. It's very rubbish! And I don't know what the product manager thinks	"
payment deception,I hate it because you have to pay
inconsistency between functionality and description,"Don't be a liar! Why not say in advance that it is not applicable to this machine before downloading! Lie to me. NIMA forced it	"
excessive network traffic,"Don't be a NIMA liar! Why not say in advance that it is not applicable to this machine before downloading! Lie to me. NIMA forced it	"
vulgar content,"While I love this app there's alot of issues on here and in 2021 I'm amazed by it. I've never seen so many racist disgusting people, from all sides, in one app and I think that needs to be recognized. It's a shame so much hate"
privacy or information leak,"There's nothing after the deceptive adjustment. Don't believe it	"
bad performance,"The software is too bloated. The mobile phone is stuck!	"
fail to install,Plz let this app right install
virus,"Well, what star coins are always poisonous	"
permission abuse,"No, you need root permission	"
privacy or information leak,"Wow! Really invasive permissions for a weather app. Spyware. Take pictures and videos? Whatever for? Read, modify, delete the contents of my SD card? Reroute calls? Identity? Anything else? First born? Uninstalled."
permission abuse,"Wow! Really invasive permissions for a weather app. Spyware. Take pictures and videos? Whatever for? Read, modify, delete the contents of my SD card? Reroute calls? Identity? Anything else? First born? Uninstalled."
app repackaging,app repackaging
app ranking fraud,"Stop talking nonsense. Comments and stars are brushed. This thing is not as good as you think	"
bad performance,"The software is OK, but it's a little retarded!"
fail to delete,"The software is OK, but it's a little retarded! Can't delete unwanted app? You can't delete it! And I've seen it, and I'll never read it! It's silly to kill people!!!	"
fail to login or register,Garbage as I cannot log in to it to use it...waste of time!!
ad disruption,Its boring. And too many ads
fail to retrieve content,"The updated TPO listening answer sheet will be blank	"
bad performance,"At first, it looked good when it came to the mobile phone. It looked like that, but the picture was monotonous, the plot was common, and the operation was difficult to control. Let's just forget it, let's bear it, but after a few passes, the card owner didn't move. I think it's OK to shut it down by force, but it's impossible to do anything. It's forced to remove the battery, so I can only give a bad comment	"
permission abuse,"I don't know what you want my location permission and phone permission to do? Why does xodocs only need storage permission?	"
payment deception,"1) i installed and I searched for a number location and it gave me approx reading, ok fine! 2)next I proceed to get a monthly subscription paying Rs 249.00 3) after payment was successful then I tried again selecting With new number but its again asking me to upgrade @support-team please make sure you give me good support or refund my money, i.e INR 249"
vulgar content,I like tiktok very much but I want to come sexual content in tiktok
fail to install,"Why did the installation fail	"
fail to delete,"Why can't you delete this software when the training time is negative or tens of millions of minutes? Is it funny?	"
illegal redirection,"After the update, the title is the next episode. If the content is still playing the original episode, you have to quit playing and click the next episode. The more updated, the more unbearable it is	"
vulgar content,"Met alot of racist people, but even more nice people."
fail to delete,"Don't go down! You can't delete it after it's been downloaded	"
inconsistency between functionality and description,"Inconsistent application performance issues really full the experience and make it difficult to interaction with users (after all it IS the sole purpose of the app). For example, comments on an initial like are not being saved. Update - do not pay for preferred. Any update seems to disable any and paid subscriptions. Support useless in resolving."
drive-by download,i love this app it is so fun let me warn you once you download this app u will become addicted
fail to retrieve content,This app no longer works. All I ever get is a blank page.
bad performance,"There's no way to check the displacement. There's no option, or the crash feedback can't be solved. It's really unspeakable	"
payment deception,Me have to pay too and I hate IIIIIIITTTT  Rainbow sheep rock!
payment deception,We still have to pay
payment deception,I have to pay and im just a kid
vulgar content,Very nice app but do much sexual and illegal society are more plzz action on this
fail to delete,"It is complicated to update the bill. You can only add credit cards and cannot delete it. Use with caution	"
vulgar content,I honestly love the app? but some minor problems are: the boys and so much more. They always bodyshame and sexualize EVERYBODY on the app
payment deception,"6 dollar an hour, 4 dollar for members is better than going to an Internet cafe? Did the black screen drop and Caton solve it? It's called a second a card "
bad performance,"6 yuan an hour, 4 yuan for members is better than going to an Internet cafe? Did the black screen drop and Caton solve it? It's called a second a card	"
fail to login or register,"The registration status indicates that it is being reviewed or registered	"
drive-by download,It's like the best! I've been using this for like a few month then deleted tik tok so now I cant download it again :(
excessive network traffic,Upload data tens of M and download tens of M. who can tell me why?!?! 
bad performance,"I really don't understand why I don't open the software and stop sending and receiving data in the background. Why do I put my mobile phone on the desk for a few hours at night? It almost consumes half of my note3 power. Look at the power consumption. This application ranks first. Upload data tens of M and download tens of M. who can tell me why?!?!	"
fail to start,"Garbage can't be opened. Don't download it. It's too garbage!	"
fail to start,"Shit! Perfect loading and unloading of Samsung 7100 black screen	"
app repackaging,"How about piracy	"
fail to install,"i will give five stars to this app,but the problem is unfortunately this app was uninstalled from mobile and now more than 50 times i tried to download this app but remained fail. kindly fix this issue. after completion of download it is not being installed in my phone. thanks in advance"
ad disruption,"I tried to figure-out how to ad my Rental property, but there was absolutely no directions, or chance to do so"
ad disruption,Only advertising is too bad 
fail to retrieve content,"Why is it blank? Only advertising is too bad	"
vulgar content,Its good.I just wish I could create my own creepy pastast or yon the app.
fail to login or register,I love it but how do u get back in if u dont know what ur login is for a long time ?
app ranking fraud,"Please pay for the amount of downloads and comments. Thank you	"
bad performance,Dose not work on Acer iconia one 7. Will not take pictures.
bad performance,"Every time I work on a template and go to save, it crashes. Both save files jpeg and png"
permission abuse,"You can't even log in. You need root permission. Why do you have this broken software	"
permission abuse,"Enforce address book permissions. What do you want	"
fail to install,"Repeatedly update and download, but I can't install it. I don't want to play anymore	"
fail to install,"Cannot install after downloading!	"
vulgar content,tiktok is good and bad because people can be perverts and creeps and it's good because well it's good
privacy or information leak,"It's good to be able to record this data I just painted the new firmware. The contents are gone Cup set But it's really easy to use	"
excessive network traffic,"Big traffic, lie to me	"
app repackaging,"How to download the cracked version	"
fail to start,"As soon as the garbage goes in, the screen goes black	"
fail to login or register,"Too ordinary software, always unable to log in to online banking	"
drive-by download,Help me download this app is really fun so let me download this app please
vulgar content,I love this app but I do not recomened it to people under 10 because there is swearing in it and it talks about sex
app repackaging,"To crack the version of quick QQ email	"
app repackaging,"If you can crack the next version, you don't have to pay	"
fail to start,Not working in my motog5s plus
fail to login or register,"App  would not allow me to use or create an account on my phone ive tried it several days and it continues to tell me, ""Please try again later."""
fail to start,Keeps crashing
payment deception,They give bare minimum to claim its free everything is a push to make you pay. I
inconsistency between functionality and description,"Horrible app. They give bare minimum to claim its free everything is a push to make you pay. It's full of outdated inactive accounts and fake accounts. Used to be good but now it is very scammy.. If I could give 0 stars I would. EDIT after bumble's response to my review above: bumble's focus on my review is is only on suspicious accounts and reporting them. they ignore the rest of my review. no addressing bumble's scam nature, the outdated accounts, bumble's behavior and how the app has degraded into a dumpster fire over time. Just another dishonest company. 0 stars given. Bumble is Horrible. just in the couple days since my review the average review for bumble has dropped well over 1 star. whoever is in charge is driving the flaming garbage truck known as bumble off a ravine. really is a shame once it was a good app. now i'ts no different than match, meetme, or any of the other scam type dating apps. i had even paid for service last year and even after canceling per instructions they still renewed/charged me and took a while to get my money back. these days their daily likes you can give seem random one day you will get 10 likes for the whole day.. over 24 hrs later you've still ""reached your limit for the day"" the number of likes you can give seems very inconsistent and manipulative to get you to pay for a service that isn't worth it. my advice ... abandon ship.. stay away... never give em a penny.. learn from other's mistakes, from my experience they're dishonest. it's a scam. do research online on them before installing. just a little research will show the opinion they are a scam is common."
inconsistency between functionality and description,Do you say in your description that you only get one lame little picture before you have to pay?
payment deception,"As a person who actually has a job and makes money, as opposed to all of these children that you have managed to impress with this garbage, I am not the demographic you want to trick with this crappy app.  One free image and then the most annoying guy you could find to tell me over and over and over to pay for and download the rest. Do you say in your description that you only get one lame little picture before you have to pay?"
fail to retrieve content,"After opening a blank, I repeat it twice, or I don't see a problem. Is it interesting? Hehe	"
payment deception,WHY DO I HAVE TO PAY!!!!!!!!
fail to login or register,"I can't register at all. I can't register a bank card without a provident fund. I can't receive the verification code after 5 attempts!!! Photo registration has failed to upload! Fooling around! Nothing can be registered	"
vulgar content,i like it but Tiktok can you please not allow sexual videos well ........................ Thank you!
illegal background behavior,"Huawei mobile phones do not support background operation and cannot receive customer messages in time	"
app repackaging,"This version is pirated. The one in Baidu mobile assistant is the genuine version!!!	"
fail to install,"Can't be installed!	"
fail to retrieve content,Will not connect at all
inconsistency between functionality and description,"How is it different from the introduction?	"
fail to login or register,"The fighter in the garbage can't log in at all. I don't want to give it to the star that swindles traffic	"
excessive network traffic,"The fighter in the garbage can't log in at all. I don't want to give it to the star that swindles traffic	"
fail to install,"You can't install any chicken B games	"
fail to install,"Don't you know how to install 360 directly into SD card? Five can be installed at the same time, with little memory	"
privacy or information leak,"Why is there no previous data after brushing the machine and installing it? I believe you let me find it now!! Dozens of birthday reminders are gone	"
illegal background behavior,Can run in the background 
fail to exit,"Can run in the background	"
ad disruption,"What is no advertising	"
virus,your mother is poisonous
payment deception,Why pay when you can use the hangout app by google and get free calling to landline number in the USA and Canada
vulgar content,This is most uses in time pass last fun coming sexy girl and our land is than than
virus,Please tiktok mera video virus dardo mera toh views bhi nhi ati hai
fail to install,"Who knows why the update can't be installed	"
fail to install,"What cannot be installed is the problem of character	"
illegal redirection,There is some problem. It no longer gives me warning and redirects me back to forest when I use some other app.
bad performance,Too many advertisements often block too many advertisements. The response is very slow. The response is very slow. The response is often very slow 
ad disruption,"Too many advertisements often block the interface. The response is very slow. Too many advertisements often block too many advertisements. The response is very slow. Too many advertisements often block too many advertisements. The response is very slow. Too many advertisements often block too many advertisements. The response is very slow. The response is very slow. The response is often very slow	"
ad disruption,Ads in the way of the output. Please move the ads to the top of the screen. Looks like a way to get alot of accidental clicks
payment deception,Its costs money like what game needs you to pay for maps
drive-by download,It is so good and amazing to use but my phone will not let you download it?
payment deception,Bad because I thought you will pay for us so stupid do not make another
ad disruption,"Who said there was no advertising?! Come out and promise not to kill him	"
ad disruption,This is a perfect example of false advertising!
bad performance,"What shit? I really don't know what Huawei thinks. The card is dying	"
virus,"This software is very easy to use, and its popularity has greatly increased. I like it very much, but it is also defective. It needs to be improved. Some places can't be used if some mobile phones can't do it. this software  contain viruses	"
ad disruption,This app needs a lot of improvement  app will not load and way to many adds of adware
bad performance,"Metro cloud card can't use preferred NFC payment at all. Has cloud card been selected or not	"
fail to start,Does  not work
illegal redirection,"If you can uninstall, do you all activate the one button lock screen? If you can't, download the mobile phone manager and uninstall it there	"
fail to retrieve content,404 Error page. Needs to be removed from playstore
virus,"Don't be poisonous	"
excessive network traffic,"I sneaked away today. I have 70m traffic. What the hell is zhennima;	"
illegal background behavior,"What does it mean to run in the background	"
fail to login or register,"**You can't verify that the verification code sent by the operator who is completely cheating data in * * is the login verification code of the mobile mall. Is it a liar * * your * * or 3000 is zero	"
excessive network traffic,"cheat mobile data can't be opened	"
payment deception,"What's the random TM deduction of garbage software	"
payment deception,"Fucking throw 50 yuan for nothing, damn liar software, don't recharge	"
fail to start,Crash on startup with Gear VR Samsung
app ranking fraud,"The following are all false comments, super contempt, the game is also good, convinced	"
fail to install,"You can't install * * to trap people	"
ad disruption,Full page ads. No cameras for Australia. Sweden is listed but nothing show. Rubbish app
bad performance,"Why is the signal so bad	"
payment deception,It mwcks you pay
fail to install,"Unable to install!!!!	"
vulgar content,Many of the women inside are estimated to be deceptive: they take the initiative to chat with you and then reply. They can't see the content.
payment deception,"Software is rubbish! Many of the women inside are estimated to be deceptive: they take the initiative to chat with you and then reply. They can't see the content. They send my own deduction. No one adds fraud. Be careful	"
fail to login or register,"What the hell can't be registered	"
permission abuse,"This software must be installed and authorized by the other party before it can be located. This is of little use, but I can recommend a device that can be located directly without the other party's authorized input number."
illegal redirection,"This software must be installed and authorized by the other party before it can be located. This is of little use, but I can recommend a device that can be located directly without the other party's authorized input number."
fail to retrieve content,"Very easy to use, can expand language thinking and make up for the blank of English language environment	"
fail to install,"What if the updated version cannot be installed	"
fail to start,Keeps saying the app has stopped working whenever I try to wirk on a video
ad disruption,"Hate the update-now as soon as I click on an article, ad pops up and stays! The story NEVER returns-ad stays on screen! THIS used to be where I got my news, please fix!"
payment deception,WHY YOU NEED TO PAY I DIDNT IN THE PAST
fail to delete,"How can the software role not be deleted	"
drive-by download,You have to download the software it pushes
payment deception,"Spicy chicken liar! Don't go down& ldquo; Dear user, you have updated the latest version for free. Please press the OK key to install & rdquo;"
ad disruption,Then the software constantly pushes advertisements on the desktop
fail to exit,"Spicy chicken liar! Don't go down& ldquo; Dear user, you have updated the latest version for free. Please press the OK key to install & rdquo; I thought it was true, so I installed it. What's the result & ldquo; Android & rdquo; Then the software constantly pushes advertisements on the desktop and can't exit. You have to download the software it pushes	"
fail to login or register,"I just downloaded it, but why do I always say that I can't register even if I'm connecting to the server? Does anyone know why	"
ad disruption,Stop. Ads way to much
payment deception,Fu u people I am not wasting my good money for that crappy stuff
fail to retrieve content,app would not open up so logged out and tried to log back in an now it gives me a server error message  really sucks
fail to login or register,Worked fine until the update have same issues as others and now today app would not open up so logged out and tried to log back in an now it gives me a server error message  really sucks
ad disruption,Annoying ads
ad disruption,Not worth the hassle. Too many ads. Hardly any game play.  No thanks.
payment deception,"Spam application China Unicom sent me a text message!!!! Deduct my phone bill, spicy chicken application! All members of junk Unicom are fake!!! Spicy chicken!?	"
payment deception,I think that you should just let us text for free and not have to pay money
app repackaging,"Add me qq996895998 and I'll give you the cracked version	"
fail to install,"Cannot install yesterday	"
virus,"**The software feels that there is a virus and sends more than ten text messages	"
drive-by download,I just think it's a good way to make new friends and have fun its was my favorite thing to do alllllllll the time but now it wont let me download it and when I make an account its different but I loved it a lit a people love it and I met such amazing people on that app it was a life changer
ad disruption,The ad hides any translation.  Click bait!
ad disruption,Waaaaaaaaaaaaaaaaaaaaaaaay to many ads
fail to install,"Why is there an error in the analysis package I downloaded that cannot be installed and written? Who can help explain it	"
inconsistency between functionality and description,The Korean on it is not the same as your screenshot 
excessive network traffic,"It's fun, but it's all Korean. It's really more fun than ordinary games with rhythm, but it's all spending money. It's a little unreasonable. We spend traffic and buy songs. The Korean on it is not the same as your screenshot	"
virus,"Don't let go of one of the viruses	"
fail to install,"Unable to support Android 8.0, please upgrade	"
virus,Saludos cordiales y gracias por su atenci¨®n prestada cordialmente el equipo de trabajo para el equipo de c¨®mputo sin el consentimiento del remitente y elimin¨¦ este mensaje  contiene virus ni otros compromisos 2017
app ranking fraud,"Most of the comments are brushed at a glance	"
virus,"Please don't download this software. There is a virus	"
drive-by download,"In fact, the function is very good. When handling cards, the forced installation marketing mode is unacceptable	"
fail to delete,"Can not be uninstalled, pretty disgusting"
drive-by download,"Can only bind the card, can't unbind what fart application	"
vulgar content,For you video viral ?? fsibqhyva porblam you API NY and NJ on the phone and email it to rhi you API jan I miss my to bohat you have received your name in ki chorny you have received this email and any attachments is intended only for the phone ?????? to the next week or Kai na lgy you video has to bohat to the same or any of h to the next few days ago to bohat siryas lag rhy hn to bohat siryas lag rhy hu muja ap ki massg Kar do you have any type of h bt to the in ke to iiii I love it dick
fail to delete,"Unable to uninstall, going crazy!!!	"
app ranking fraud,"Don't go down, almost deducted fees, garbage games and praise are brushed	"
bad performance,"According to my actual measurement, all bank apps failed to apply for credit cards. These apps are all fake. I didn't delay my micro loans once, and my income is not small. I just like how much money I spend and how much I don't deposit. Finally, 18 banks succeeded. Two of them still applied offline. Two of them succeeded. One of them failed because I didn't receive a call when I slept during the night shift. I really don't understand That's why my sesame credit is almost 700	"
fail to install,"I'm angry that you can't install the game	"
fail to start,"I can't open it. It's fucking rubbish	"
fail to retrieve content,Error 404.............
fail to install,"Well, Tiktok is my favorite it is awesome and enjoyable, but i have a problem, I deleted tiktok and all my games and restart but I tried download tiktok again cause its my fav and its say ~Installing~ then It turn zero again I'm sad I kept repeating 10x downloading but i cant download... IM SO SAD THIS MY FAV APP"
ad disruption,Too many ads pop up!
excessive network traffic,"If you want to play awesome games with this software, you can't play the same game as the mouse. Secondly, the fees are almost the same as those of Internet cafes.	"
drive-by download,You have to download the application before you can use it
illegal redirection,"You have to download the application before you can use it	"
drive-by download,I love this app but i accidentally zipped it i tried to unzip it but it will not unzip i even tried to delete it but it will not delete but when i came into playstore it said i had to install it but when i tried it said " unzipping app"and when i looked i didn't unzip i was wondering if there was anything the company could do to to fix it
app ranking fraud,"Garbage brush out?	"
app ranking fraud,"Is to cheat the praise!	"
drive-by download,you have to download it now and look for yourself.
bad performance,"I very rarely give a 5 star to any app. But Tiktok is a great app and media platform for creators or anyone with a creative mind. But be warned, its addictive and will consume your life. As well as your phones battery. So enjoy responsivly."
drive-by download,"China's mobile phone China bank has a good credit card, which is forcing you to update the mobile phone bank of China,"
bad performance,"China's mobile phone China bank has a good credit card, which is forcing you to update the mobile phone bank of China, and the balance of credit card payment is not allowed to see that Alipay and WeChat can repay the loan.	"
app repackaging,"Baidu go to China cracking alliance procapture Chinese cracking version | procapturev1 7.4 Android version is still higher than the perfect cracked version	"
app repackaging,"Not bad, but it's not a cracked version	"
excessive network traffic,"Cheat me, the traffic card is dead, rubbish	"
payment deception,"There is no prompt for the fee deduction of rogue software	"
bad performance,Super Addictive I Can't Put It Down Even When I Deleted It To Make Room I End Up
drive-by download,Super Addictive I Can't Put It Down Even When I Deleted It To Make Room I End Up Downloading It Again
vulgar content,It is amazing but I don't like all the sexy content
drive-by download,"Shit, a chicken can't bind the card. Why did you just register to fill in the card! If I don't bind the card, I'll download you. Why do you check farts? It's too much for one star	"
vulgar content,The idea is pretty good with a bit of sexy
bad performance,Hi tiktok i use it from 1.3 years in start my viewers increases now days my viewers are not increasing and it consumes alot of battery
ad disruption,Full of scam and commercials. The whole time something is happening on your screen. This is the worst app I have ever installed. Big mistake!
payment deception,You have to pay for everything!
app repackaging,"Play cracked version of cool	"
privacy or information leak,Hacked my account guys plz be careful
ad disruption,"There are more and more advertisements, especially in the latest version. There are not so many advertisements in several versions. Now they are blocked, refreshed and come out again!	"
fail to delete,"Total junk, very hard to uninstall."
payment deception,"You can't borrow it if you return it. I believe there are many platforms like this. I have broken the chain of drug testing funds. Please don't pay it back. Anyway, it's usury, credit investigation and legal protection!!"
virus,"You can't borrow it if you return it. I believe there are many platforms like this. I have broken the chain of drug testing funds. Please don't pay it back. Anyway, it's usury, credit investigation and legal protection!!	"
